"Portland, Oregon Daily Bike Estimates, 2000-2018 (based on 2-hour peak counts)",,,,,,,,,,,,,,,,,,,,,,
Sector,Site #,Location,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,prior to 2000
bridge,2,Burnside Bridge,"1,780","2,445","2,390","2,385","2,340","2,110","2,055","2,175","1,865","1,760","2,035","1,325","1,260",-,-,690,-,965,-,920
bridge,4,Sellwood Bridge,735,900,620,385,665,495,675,455,395,480,-,485,455,-,-,-,-,-,-,415
north,6,N Fessenden & Peninsula Crossing,220,200,180,185,445,245,350,-,-,365,280,275,-,-,-,-,-,-,-,-
north,7,N Interstate & Greeley,"1,420","1,325","1,400","1,480","1,305","1,115","1,295","1,240","1,275","1,185","1,340",960,"1,010",-,-,390,-,-,-,255
north,8,N Interstate & Larrabee,"1,660","1,480","1,400","1,725","1,540","1,610","1,625","1,605","1,105","1,230","1,705","1,295","1,245",-,-,-,-,-,-,-
north,9,N Portsmouth & Houghton,200,130,190,230,-,120,185,-,-,215,260,215,-,-,-,-,-,-,-,-
north,10,N Denver & Rosa Parks,850,825,"1,215","1,000",990,"1,100",750,615,-,800,740,515,450,-,-,-,-,135,-,-
north,11,N Vancouver & Russell,"4,705","5,250","5,885","5,140","5,700","4,740","5,160","4,375",-,"3,225","3,600","2,325","1,900",-,-,"1,075",-,950,850,530
north,12,N Williams & Russell,"4,108","5,005","4,925","4,710","5,345","4,605","3,985","3,995","3,095","2,675","2,745","2,105",885,-,880,-,-,560,610,295
north,13,N Smith & St. Louis,20,105,55,155,-,115,145,-,125,-,155,100,-,-,-,-,-,-,-,-
north,14,N Flint & Tillamook,635,595,675,670,795,715,-,890,-,685,820,590,535,-,-,-,-,915,835,400
north,15,N Vancouver & Ainsworth,"1,265","1,370","1,320","1,360","1,260","1,410","1,160","1,060",990,-,"1,200",615,580,-,410,-,-,265,220,168
north,16,N Willamette & Philadelphia,,175,190,175,-,140,190,260,280,-,-,150,-,-,-,-,-,-,-,-
north,17,N Willamette & Waud Bluff Trail,,885,825,"1,065",885,810,890,875,-,765,610,-,-,-,-,-,-,-,-,-
east,18,NE Marine Drive & PDX Trail,195,310,210,305,-,270,390,465,420,-,-,195,-,-,-,-,-,-,-,-
northeast,19,NE Going & 37th,900,"1,000",830,"1,005",-,"1,020",860,735,360,230,270,-,-,-,-,-,-,-,-,-
northeast,20,NE Multnomah & 47th,500,410,555,560,485,560,560,535,290,545,505,400,285,-,-,215,-,170,190,195
northeast,21,NE Siskiyou & 72nd,145,115,135,240,140,130,-,-,165,185,160,-,-,-,-,-,-,-,-,-
east,22,NE Halsey & 92nd,135,160,350,150,145,185,140,145,150,160,190,120,110,-,-,-,-,-,-,-
northeast,23,NE Broadway & 7th,"1,595","1,670","1,505","1,885","1,840","1,760","1,530","1,270","1,200","1,560","1,765","1,525","1,205",-,-,-,-,-,-,365
east,24,E Burnside & 122nd,340,475,490,690,350,540,400,565,400,365,-,425,450,-,-,-,-,-,-,-
northeast,25,E Burnside & 74th,570,510,540,595,625,-,750,745,530,455,500,405,440,365,-,-,-,-,-,-
